time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),date
2016-01-01T00:00,7.6,0.0,0.0,69.0,53.0,0.0,72.0,10.0,296.0,2016-01-01
2016-01-02T00:00,3.6,0.0,0.0,13.0,1.0,20.0,0.0,15.5,269.0,2016-01-02
2016-01-03T00:00,2.7,0.0,0.0,5.0,5.0,0.0,0.0,7.2,252.0,2016-01-03
2016-01-04T00:00,4.5,0.0,0.0,0.0,0.0,0.0,0.0,10.9,261.0,2016-01-04
2016-01-05T00:00,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,25.4,344.0,2016-01-05
2016-01-06T00:00,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,3.3,276.0,2016-01-06
2016-01-07T00:00,1.3,0.0,0.0,0.0,0.0,0.0,0.0,8.9,220.0,2016-01-07
2016-01-08T00:00,3.0,0.0,0.0,81.0,90.0,0.0,0.0,4.3,312.0,2016-01-08
2016-01-09T00:00,5.4,0.0,0.0,86.0,62.0,0.0,100.0,6.8,32.0,2016-01-09
2016-01-10T00:00,7.0,0.0,0.0,100.0,67.0,65.0,97.0,10.2,72.0,2016-01-10
2016-01-11T00:00,11.1,0.0,0.0,11.0,8.0,6.0,0.0,19.0,245.0,2016-01-11
2016-01-12T00:00,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,13.4,265.0,2016-01-12
2016-01-13T00:00,2.0,0.0,0.0,45.0,0.0,75.0,0.0,6.4,207.0,2016-01-13
2016-01-14T00:00,-3.3,0.0,0.0,22.0,0.0,24.0,25.0,17.3,270.0,2016-01-14
2016-01-15T00:00,2.4,0.0,0.0,80.0,44.0,67.0,0.0,3.3,96.0,2016-01-15
2016-01-16T00:00,7.2,0.0,0.0,90.0,0.0,100.0,100.0,6.9,141.0,2016-01-16
2016-01-17T00:00,6.6,0.0,0.0,100.0,90.0,30.0,31.0,11.2,266.0,2016-01-17
2016-01-18T00:00,-0.0,0.2,0.0,54.0,1.0,89.0,0.0,5.5,328.0,2016-01-18
2016-01-19T00:00,-5.2,0.0,0.0,0.0,0.0,0.0,0.0,25.7,281.0,2016-01-19
2016-01-20T00:00,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,18.7,289.0,2016-01-20
2016-01-21T00:00,-0.1,0.0,0.0,82.0,0.0,97.0,79.0,5.5,302.0,2016-01-21
2016-01-22T00:00,-1.3,0.0,0.0,4.0,4.0,1.0,0.0,12.0,311.0,2016-01-22
2016-01-23T00:00,-2.2,0.0,0.0,90.0,0.0,100.0,100.0,6.6,29.0,2016-01-23
2016-01-24T00:00,-3.1,1.6,0.0,90.0,0.0,100.0,99.0,32.2,14.0,2016-01-24
2016-01-25T00:00,-2.5,0.0,0.0,25.0,0.0,35.0,12.0,8.6,292.0,2016-01-25
2016-01-26T00:00,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,8.3,178.0,2016-01-26
2016-01-27T00:00,6.1,0.0,0.0,80.0,0.0,95.0,78.0,15.3,229.0,2016-01-27
2016-01-28T00:00,0.9,0.0,0.0,9.0,0.0,0.0,30.0,8.0,297.0,2016-01-28
2016-01-29T00:00,0.3,0.0,0.0,31.0,0.0,4.0,95.0,9.1,214.0,2016-01-29
2016-01-30T00:00,1.6,0.0,0.0,30.0,0.0,50.0,0.0,17.5,302.0,2016-01-30
2016-01-31T00:00,1.8,0.0,0.0,12.0,0.0,5.0,31.0,13.7,203.0,2016-01-31
2016-02-01T00:00,5.8,0.0,0.0,22.0,0.0,0.0,73.0,10.4,180.0,2016-02-01
2016-02-02T00:00,7.9,0.0,0.0,68.0,0.0,88.0,51.0,10.8,334.0,2016-02-02
2016-02-03T00:00,3.7,0.0,0.0,27.0,0.0,0.0,91.0,9.4,157.0,2016-02-03
2016-02-04T00:00,12.7,0.9,0.9,100.0,50.0,100.0,100.0,18.3,165.0,2016-02-04
2016-02-05T00:00,6.6,0.0,0.0,87.0,14.0,74.0,100.0,7.5,343.0,2016-02-05
2016-02-06T00:00,1.9,0.0,0.0,0.0,0.0,0.0,0.0,16.1,297.0,2016-02-06
2016-02-07T00:00,2.7,0.0,0.0,17.0,0.0,0.0,56.0,9.7,202.0,2016-02-07
2016-02-08T00:00,3.7,0.0,0.0,32.0,0.0,3.0,100.0,9.2,69.0,2016-02-08
2016-02-09T00:00,-0.2,0.1,0.0,100.0,88.0,99.0,2.0,5.1,51.0,2016-02-09
2016-02-10T00:00,0.5,0.1,0.0,96.0,41.0,98.0,1.0,4.5,166.0,2016-02-10
2016-02-11T00:00,1.4,0.0,0.0,2.0,2.0,0.0,0.0,17.0,253.0,2016-02-11
2016-02-12T00:00,-4.8,0.0,0.0,9.0,0.0,15.0,0.0,24.3,294.0,2016-02-12
2016-02-13T00:00,-4.1,0.0,0.0,88.0,0.0,98.0,97.0,9.7,243.0,2016-02-13
2016-02-14T00:00,-12.7,0.0,0.0,2.0,2.0,0.0,0.0,25.1,308.0,2016-02-14
2016-02-15T00:00,-9.2,0.0,0.0,0.0,0.0,0.0,0.0,4.3,275.0,2016-02-15
2016-02-16T00:00,-1.9,1.0,0.2,100.0,100.0,100.0,85.0,12.4,68.0,2016-02-16
2016-02-17T00:00,8.0,0.0,0.0,7.0,8.0,0.0,0.0,17.8,256.0,2016-02-17
2016-02-18T00:00,2.8,0.0,0.0,100.0,99.0,25.0,1.0,9.8,262.0,2016-02-18
2016-02-19T00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.5,335.0,2016-02-19
2016-02-20T00:00,1.8,0.4,0.0,56.0,2.0,40.0,100.0,11.1,155.0,2016-02-20
2016-02-21T00:00,11.2,0.0,0.0,1.0,0.0,1.0,0.0,15.1,220.0,2016-02-21
2016-02-22T00:00,10.8,0.0,0.0,100.0,51.0,98.0,5.0,2.9,120.0,2016-02-22
2016-02-23T00:00,5.0,0.0,0.0,1.0,0.0,0.0,3.0,4.6,141.0,2016-02-23
2016-02-24T00:00,2.2,0.2,0.2,100.0,100.0,100.0,0.0,22.0,55.0,2016-02-24
2016-02-25T00:00,13.5,0.6,0.6,69.0,36.0,38.0,47.0,26.3,171.0,2016-02-25
2016-02-26T00:00,4.8,0.0,0.0,100.0,75.0,99.0,1.0,23.4,245.0,2016-02-26
2016-02-27T00:00,0.4,0.0,0.0,0.0,0.0,0.0,0.0,15.3,317.0,2016-02-27
2016-02-28T00:00,3.7,0.0,0.0,27.0,0.0,0.0,91.0,14.6,232.0,2016-02-28
2016-02-29T00:00,11.4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,204.0,2016-02-29
2016-03-01T00:00,10.1,0.0,0.0,0.0,0.0,0.0,0.0,19.5,254.0,2016-03-01
2016-03-02T00:00,6.2,0.0,0.0,30.0,0.0,0.0,99.0,14.1,109.0,2016-03-02
2016-03-03T00:00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,18.6,316.0,2016-03-03
2016-03-04T00:00,2.4,0.0,0.0,85.0,0.0,92.0,100.0,4.6,162.0,2016-03-04
2016-03-05T00:00,2.4,0.0,0.0,6.0,0.0,0.0,20.0,15.7,344.0,2016-03-05
2016-03-06T00:00,2.8,0.0,0.0,2.0,2.0,1.0,0.0,6.6,139.0,2016-03-06
2016-03-07T00:00,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.3,252.0,2016-03-07
2016-03-08T00:00,11.9,0.0,0.0,7.0,0.0,11.0,0.0,13.9,233.0,2016-03-08
2016-03-09T00:00,10.3,0.0,0.0,1.0,0.0,1.0,0.0,7.1,131.0,2016-03-09
2016-03-10T00:00,17.1,0.0,0.0,20.0,0.0,33.0,0.0,11.7,214.0,2016-03-10
2016-03-11T00:00,16.5,0.0,0.0,76.0,14.0,58.0,96.0,9.1,252.0,2016-03-11
2016-03-12T00:00,12.1,0.0,0.0,23.0,0.0,0.0,75.0,10.5,322.0,2016-03-12
2016-03-13T00:00,12.2,0.0,0.0,22.0,0.0,0.0,74.0,12.2,227.0,2016-03-13
2016-03-14T00:00,11.7,0.0,0.0,89.0,0.0,100.0,98.0,7.6,172.0,2016-03-14
2016-03-15T00:00,6.4,0.0,0.0,100.0,100.0,77.0,5.0,26.0,53.0,2016-03-15
2016-03-16T00:00,10.8,0.0,0.0,43.0,28.0,13.0,32.0,3.3,311.0,2016-03-16
2016-03-17T00:00,10.9,0.4,0.4,100.0,98.0,42.0,55.0,9.7,138.0,2016-03-17
2016-03-18T00:00,11.6,0.0,0.0,34.0,0.0,36.0,40.0,10.1,235.0,2016-03-18
2016-03-19T00:00,10.5,0.0,0.0,2.0,0.0,3.0,0.0,8.4,335.0,2016-03-19
2016-03-20T00:00,7.1,0.0,0.0,90.0,0.0,100.0,100.0,1.8,127.0,2016-03-20
2016-03-21T00:00,3.6,0.2,0.1,84.0,0.0,96.0,87.0,8.1,58.0,2016-03-21
2016-03-22T00:00,6.7,0.0,0.0,0.0,0.0,0.0,0.0,17.9,298.0,2016-03-22
2016-03-23T00:00,10.8,0.0,0.0,31.0,0.0,19.0,65.0,14.5,194.0,2016-03-23
2016-03-24T00:00,15.4,0.0,0.0,3.0,0.0,2.0,7.0,8.0,198.0,2016-03-24
2016-03-25T00:00,7.4,0.0,0.0,77.0,83.0,0.0,8.0,14.4,91.0,2016-03-25
2016-03-26T00:00,15.3,0.0,0.0,81.0,26.0,55.0,81.0,15.5,318.0,2016-03-26
2016-03-27T00:00,6.8,0.0,0.0,6.0,0.0,0.0,21.0,15.0,138.0,2016-03-27
2016-03-28T00:00,7.3,0.0,0.0,100.0,84.0,0.0,100.0,9.2,121.0,2016-03-28
2016-03-29T00:00,12.7,0.0,0.0,100.0,99.0,99.0,0.0,27.8,266.0,2016-03-29
2016-03-30T00:00,8.7,0.0,0.0,0.0,0.0,0.0,0.0,18.1,314.0,2016-03-30
2016-03-31T00:00,9.7,0.0,0.0,31.0,0.0,2.0,100.0,17.7,185.0,2016-03-31
2016-04-01T00:00,16.9,0.0,0.0,43.0,8.0,10.0,100.0,18.4,183.0,2016-04-01
2016-04-02T00:00,19.0,1.1,1.1,98.0,37.0,57.0,100.0,15.8,258.0,2016-04-02
2016-04-03T00:00,11.0,0.0,0.0,32.0,1.0,51.0,0.0,13.0,185.0,2016-04-03
2016-04-04T00:00,5.1,0.0,0.0,0.0,0.0,0.0,0.0,6.8,302.0,2016-04-04
2016-04-05T00:00,1.5,1.1,1.1,100.0,100.0,95.0,94.0,18.7,16.0,2016-04-05
2016-04-06T00:00,4.7,0.0,0.0,0.0,0.0,0.0,0.0,8.9,320.0,2016-04-06
2016-04-07T00:00,7.9,0.0,0.0,38.0,0.0,22.0,83.0,20.9,178.0,2016-04-07
2016-04-08T00:00,11.9,0.0,0.0,70.0,24.0,58.0,45.0,9.3,242.0,2016-04-08
2016-04-09T00:00,7.6,0.0,0.0,0.0,0.0,0.0,1.0,12.4,280.0,2016-04-09
2016-04-10T00:00,4.8,0.0,0.0,93.0,3.0,100.0,100.0,12.9,297.0,2016-04-10
2016-04-11T00:00,8.2,0.0,0.0,19.0,0.0,0.0,62.0,11.5,184.0,2016-04-11
2016-04-12T00:00,13.0,0.0,0.0,60.0,1.0,62.0,74.0,11.6,173.0,2016-04-12
2016-04-13T00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,334.0,2016-04-13
2016-04-14T00:00,10.3,0.0,0.0,0.0,0.0,0.0,0.0,9.2,159.0,2016-04-14
2016-04-15T00:00,11.5,0.0,0.0,0.0,0.0,0.0,0.0,11.2,159.0,2016-04-15
2016-04-16T00:00,13.1,0.0,0.0,0.0,0.0,0.0,0.0,9.8,174.0,2016-04-16
2016-04-17T00:00,14.3,0.0,0.0,26.0,0.0,0.0,88.0,12.5,136.0,2016-04-17
2016-04-18T00:00,16.2,0.0,0.0,0.0,0.0,0.0,0.0,10.1,176.0,2016-04-18
2016-04-19T00:00,18.7,0.0,0.0,29.0,0.0,0.0,97.0,11.6,175.0,2016-04-19
2016-04-20T00:00,16.9,0.0,0.0,30.0,0.0,0.0,100.0,12.1,323.0,2016-04-20
2016-04-21T00:00,13.8,0.0,0.0,0.0,0.0,0.0,0.0,12.3,165.0,2016-04-21
2016-04-22T00:00,18.7,0.0,0.0,81.0,0.0,87.0,95.0,10.4,224.0,2016-04-22
2016-04-23T00:00,19.9,0.1,0.1,85.0,0.0,93.0,97.0,10.4,226.0,2016-04-23
2016-04-24T00:00,16.1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,353.0,2016-04-24
2016-04-25T00:00,16.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,157.0,2016-04-25
2016-04-26T00:00,15.7,0.0,0.0,29.0,0.0,2.0,94.0,9.0,127.0,2016-04-26
2016-04-27T00:00,10.8,0.0,0.0,100.0,100.0,17.0,3.0,14.1,77.0,2016-04-27
2016-04-28T00:00,13.1,0.0,0.0,20.0,0.0,0.0,67.0,13.2,206.0,2016-04-28
2016-04-29T00:00,8.9,0.5,0.5,78.0,0.0,99.0,61.0,6.8,205.0,2016-04-29
2016-04-30T00:00,9.9,0.5,0.5,100.0,91.0,100.0,0.0,7.3,123.0,2016-04-30
2016-05-01T00:00,12.0,0.0,0.0,14.0,0.0,0.0,48.0,11.3,163.0,2016-05-01
2016-05-02T00:00,8.9,0.0,0.0,100.0,100.0,93.0,21.0,12.6,70.0,2016-05-02
2016-05-03T00:00,14.1,0.0,0.0,56.0,46.0,0.0,48.0,2.4,207.0,2016-05-03
2016-05-04T00:00,11.5,0.0,0.0,100.0,100.0,27.0,18.0,7.1,135.0,2016-05-04
2016-05-05T00:00,10.2,0.0,0.0,97.0,100.0,12.0,0.0,11.0,38.0,2016-05-05
2016-05-06T00:00,13.0,0.0,0.0,100.0,100.0,73.0,1.0,10.5,41.0,2016-05-06
2016-05-07T00:00,10.8,0.0,0.0,100.0,100.0,43.0,40.0,15.6,82.0,2016-05-07
2016-05-08T00:00,12.8,0.0,0.0,29.0,22.0,8.0,15.0,7.2,174.0,2016-05-08
2016-05-09T00:00,16.2,0.0,0.0,9.0,0.0,15.0,0.0,8.9,313.0,2016-05-09
2016-05-10T00:00,18.3,0.0,0.0,29.0,0.0,0.0,95.0,9.4,252.0,2016-05-10
2016-05-11T00:00,14.6,0.0,0.0,52.0,0.0,63.0,47.0,10.0,229.0,2016-05-11
2016-05-12T00:00,18.4,0.0,0.0,31.0,0.0,2.0,98.0,8.6,213.0,2016-05-12
2016-05-13T00:00,18.6,0.0,0.0,29.0,0.0,0.0,98.0,10.5,149.0,2016-05-13
2016-05-14T00:00,17.9,0.0,0.0,95.0,58.0,24.0,94.0,5.4,266.0,2016-05-14
2016-05-15T00:00,16.0,0.5,0.5,90.0,0.0,100.0,100.0,16.0,234.0,2016-05-15
2016-05-16T00:00,11.1,0.2,0.2,0.0,0.0,0.0,0.0,21.3,281.0,2016-05-16
2016-05-17T00:00,17.5,0.0,0.0,0.0,0.0,0.0,1.0,10.4,256.0,2016-05-17
2016-05-18T00:00,13.8,0.0,0.0,34.0,0.0,57.0,0.0,8.7,218.0,2016-05-18
2016-05-19T00:00,14.8,0.0,0.0,57.0,0.0,95.0,0.0,7.7,169.0,2016-05-19
2016-05-20T00:00,17.0,0.0,0.0,4.0,0.0,7.0,0.0,8.1,167.0,2016-05-20
2016-05-21T00:00,18.9,0.0,0.0,30.0,0.0,0.0,100.0,13.5,171.0,2016-05-21
2016-05-22T00:00,14.9,0.0,0.0,75.0,0.0,99.0,53.0,4.6,18.0,2016-05-22
2016-05-23T00:00,17.2,0.0,0.0,35.0,0.0,52.0,12.0,6.4,227.0,2016-05-23
2016-05-24T00:00,17.8,0.0,0.0,37.0,0.0,35.0,53.0,7.7,169.0,2016-05-24
2016-05-25T00:00,19.7,0.0,0.0,50.0,0.0,80.0,7.0,1.1,180.0,2016-05-25
2016-05-26T00:00,25.6,0.0,0.0,2.0,0.0,2.0,1.0,11.1,216.0,2016-05-26
2016-05-27T00:00,26.1,0.0,0.0,17.0,0.0,8.0,41.0,11.3,173.0,2016-05-27
2016-05-28T00:00,25.3,0.0,0.0,34.0,0.0,22.0,69.0,10.8,178.0,2016-05-28
2016-05-29T00:00,26.8,0.0,0.0,30.0,0.0,28.0,45.0,7.7,208.0,2016-05-29
2016-05-30T00:00,22.8,0.0,0.0,49.0,5.0,25.0,98.0,12.7,155.0,2016-05-30
2016-05-31T00:00,23.5,0.0,0.0,54.0,7.0,29.0,100.0,13.0,199.0,2016-05-31
2016-06-01T00:00,25.2,0.0,0.0,5.0,0.0,3.0,10.0,8.8,168.0,2016-06-01
2016-06-02T00:00,22.7,0.0,0.0,7.0,0.0,11.0,0.0,11.9,115.0,2016-06-02
2016-06-03T00:00,18.9,0.0,0.0,56.0,29.0,1.0,99.0,13.1,122.0,2016-06-03
2016-06-04T00:00,20.5,0.0,0.0,100.0,98.0,9.0,52.0,5.6,165.0,2016-06-04
2016-06-05T00:00,23.5,0.0,0.0,95.0,12.0,93.0,93.0,8.4,149.0,2016-06-05
2016-06-06T00:00,21.0,1.5,1.5,82.0,4.0,80.0,100.0,12.1,240.0,2016-06-06
2016-06-07T00:00,27.3,0.0,0.0,58.0,0.0,52.0,88.0,11.3,211.0,2016-06-07
2016-06-08T00:00,23.4,0.0,0.0,10.0,0.0,3.0,27.0,14.8,311.0,2016-06-08
2016-06-09T00:00,17.8,0.0,0.0,1.0,0.0,2.0,0.0,19.5,293.0,2016-06-09
2016-06-10T00:00,21.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,303.0,2016-06-10
2016-06-11T00:00,23.3,0.0,0.0,26.0,0.0,0.0,87.0,7.1,300.0,2016-06-11
2016-06-12T00:00,28.8,0.0,0.0,5.0,0.0,8.0,0.0,12.2,251.0,2016-06-12
2016-06-13T00:00,20.8,0.0,0.0,3.0,0.0,0.0,10.0,23.5,331.0,2016-06-13
2016-06-14T00:00,20.3,0.0,0.0,69.0,4.0,81.0,56.0,16.8,313.0,2016-06-14
2016-06-15T00:00,25.4,0.0,0.0,0.0,0.0,0.0,0.0,6.3,294.0,2016-06-15
2016-06-16T00:00,25.5,0.0,0.0,25.0,0.0,0.0,84.0,6.9,189.0,2016-06-16
2016-06-17T00:00,22.4,0.0,0.0,26.0,0.0,22.0,44.0,1.5,76.0,2016-06-17
2016-06-18T00:00,20.7,0.0,0.0,1.0,0.0,1.0,0.0,9.8,156.0,2016-06-18
2016-06-19T00:00,25.7,0.0,0.0,26.0,0.0,43.0,0.0,12.7,155.0,2016-06-19
2016-06-20T00:00,21.8,0.0,0.0,33.0,0.0,7.0,95.0,11.5,141.0,2016-06-20
2016-06-21T00:00,25.3,0.0,0.0,26.0,0.0,6.0,76.0,10.7,168.0,2016-06-21
2016-06-22T00:00,27.1,0.0,0.0,23.0,0.0,29.0,19.0,6.5,264.0,2016-06-22
2016-06-23T00:00,26.7,0.0,0.0,16.0,0.0,27.0,0.0,6.2,306.0,2016-06-23
2016-06-24T00:00,25.4,0.0,0.0,27.0,0.0,28.0,34.0,7.4,141.0,2016-06-24
2016-06-25T00:00,23.3,0.0,0.0,18.0,0.0,19.0,22.0,7.9,137.0,2016-06-25
