time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
2019-10-21T16:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,13.4,20.0
2020-07-13T17:00,28.4,0.0,0.0,44.0,8.0,17.0,87.0,9.4,272.0
2016-12-10T01:00,0.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,305.0
2016-09-11T12:00,25.8,0.6,0.6,34.0,12.0,35.0,6.0,13.1,238.0
2022-01-16T07:00,-11.4,0.0,0.0,0.0,0.0,0.0,0.0,8.4,83.0
2017-08-18T20:00,28.0,0.8,0.8,100.0,58.0,34.0,99.0,11.6,187.0
2018-09-12T18:00,24.1,0.0,0.0,100.0,100.0,27.0,52.0,4.6,141.0
2017-04-13T13:00,9.9,0.0,0.0,21.0,0.0,0.0,70.0,16.7,327.0
2021-03-26T14:00,16.8,0.0,0.0,92.0,74.0,35.0,13.0,18.9,201.0
2021-08-10T06:00,22.8,0.0,0.0,38.0,16.0,37.0,6.0,4.3,156.0
2018-03-12T20:00,5.6,0.0,0.0,100.0,59.0,100.0,80.0,17.6,75.0
2017-09-12T16:00,22.3,0.0,0.0,26.0,0.0,0.0,88.0,2.2,279.0
2021-08-20T15:00,25.7,0.0,0.0,100.0,32.0,83.0,100.0,8.4,335.0
2021-08-08T09:00,20.5,0.4,0.4,65.0,0.0,98.0,21.0,7.2,153.0
2019-08-16T05:00,21.6,0.0,0.0,58.0,45.0,10.0,37.0,7.6,85.0
2021-08-11T18:00,30.6,0.0,0.0,30.0,5.0,3.0,79.0,12.5,213.0
2017-02-19T01:00,11.0,0.0,0.0,28.0,0.0,0.0,93.0,14.6,232.0
2016-09-28T18:00,19.2,0.0,0.0,100.0,100.0,41.0,100.0,18.6,75.0
2021-10-04T07:00,20.3,0.9,0.9,88.0,2.0,95.0,97.0,4.0,190.0
2019-08-26T18:00,20.8,0.0,0.0,44.0,49.0,0.0,0.0,9.8,84.0
2021-07-22T10:00,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,331.0
2021-02-01T21:00,-0.5,2.5,0.0,100.0,89.0,99.0,64.0,38.8,27.0
2021-01-16T03:00,7.3,3.1,3.1,100.0,100.0,100.0,100.0,23.4,87.0
2019-05-20T03:00,19.9,0.0,0.0,83.0,32.0,41.0,100.0,9.2,206.0
2022-05-29T12:00,18.7,0.0,0.0,11.0,5.0,4.0,15.0,5.8,86.0
2020-03-06T00:00,6.9,0.0,0.0,29.0,0.0,0.0,95.0,8.9,166.0
2020-10-28T00:00,13.8,0.0,0.0,88.0,1.0,100.0,89.0,1.8,349.0
2022-03-08T10:00,5.0,0.0,0.0,16.0,18.0,0.0,0.0,21.4,147.0
2018-01-22T06:00,4.4,0.0,0.0,100.0,100.0,100.0,68.0,7.9,141.0
2018-07-12T05:00,22.0,0.0,0.0,45.0,2.0,22.0,100.0,6.1,177.0
2016-02-07T18:00,6.4,0.0,0.0,30.0,0.0,0.0,100.0,5.1,82.0
2021-01-04T09:00,1.5,0.0,0.0,43.0,37.0,16.0,0.0,12.3,5.0
2022-09-19T07:00,21.4,0.0,0.0,33.0,0.0,10.0,90.0,11.0,203.0
2018-06-27T06:00,19.5,0.0,0.0,46.0,20.0,0.0,93.0,9.7,202.0
2019-01-23T16:00,2.0,0.0,0.0,100.0,21.0,99.0,95.0,16.3,208.0
2018-11-06T11:00,9.9,0.0,0.0,100.0,100.0,7.0,94.0,5.3,62.0
2022-04-14T13:00,17.7,0.0,0.0,24.0,0.0,0.0,79.0,6.6,261.0
2018-08-27T06:00,24.1,0.0,0.0,32.0,2.0,0.0,100.0,9.5,241.0
2016-11-01T07:00,5.4,0.0,0.0,0.0,0.0,0.0,0.0,8.7,38.0
2022-08-01T12:00,20.7,0.5,0.5,100.0,98.0,93.0,0.0,6.9,6.0
2021-05-23T20:00,30.1,0.0,0.0,41.0,0.0,53.0,31.0,18.1,311.0
2017-07-30T02:00,21.4,0.0,0.0,5.0,0.0,0.0,15.0,14.4,360.0
2022-08-20T22:00,28.7,0.0,0.0,25.0,0.0,41.0,0.0,14.5,277.0
2017-02-03T14:00,-2.5,0.0,0.0,50.0,0.0,34.0,99.0,7.8,283.0
2022-03-14T06:00,0.8,0.0,0.0,30.0,1.0,48.0,0.0,11.2,237.0
2020-06-21T20:00,27.9,0.3,0.3,24.0,15.0,18.0,0.0,9.5,169.0
2016-08-16T16:00,29.0,2.5,2.5,57.0,23.0,15.0,92.0,10.8,210.0
2020-10-02T03:00,17.0,0.0,0.0,60.0,0.0,100.0,0.0,7.4,256.0
2016-09-27T04:00,19.8,0.0,0.0,100.0,92.0,97.0,36.0,12.4,170.0
2017-06-22T16:00,26.4,0.0,0.0,67.0,58.0,13.0,24.0,6.5,251.0
2019-06-20T05:00,20.1,0.0,0.0,100.0,100.0,33.0,93.0,7.5,107.0
2019-08-11T00:00,24.6,0.0,0.0,15.0,0.0,25.0,0.0,12.3,328.0
2021-04-24T10:00,9.6,0.0,0.0,0.0,0.0,0.0,0.0,9.8,298.0
2022-08-23T07:00,22.6,2.1,2.1,80.0,64.0,12.0,52.0,0.8,333.0
2021-01-22T22:00,5.0,0.0,0.0,40.0,8.0,54.0,0.0,11.5,274.0
2017-01-02T11:00,0.5,0.0,0.0,74.0,0.0,74.0,100.0,6.4,38.0
2018-07-15T13:00,22.7,0.3,0.3,95.0,60.0,18.0,100.0,9.4,238.0
2017-03-26T01:00,7.1,0.0,0.0,100.0,67.0,36.0,87.0,11.2,40.0
2018-06-25T14:00,22.7,0.0,0.0,12.0,13.0,0.0,0.0,20.1,327.0
2019-08-17T04:00,23.7,0.1,0.1,100.0,98.0,33.0,85.0,4.5,151.0
2019-12-27T19:00,9.2,0.0,0.0,100.0,39.0,95.0,97.0,9.7,225.0
2020-04-23T13:00,5.1,0.0,0.0,57.0,0.0,94.0,1.0,3.9,292.0
2016-09-06T05:00,23.2,0.0,0.0,25.0,19.0,13.0,0.0,22.3,359.0
2020-07-30T19:00,32.6,0.0,0.0,49.0,0.0,49.0,65.0,12.5,231.0
2017-10-18T03:00,10.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,219.0
2019-06-11T19:00,24.4,0.0,0.0,0.0,0.0,0.0,0.0,22.3,322.0
2021-05-30T11:00,9.5,0.0,0.0,100.0,100.0,100.0,99.0,16.4,26.0
2016-12-24T21:00,7.2,0.0,0.0,47.0,52.0,0.0,0.0,10.8,274.0
2019-06-15T00:00,22.6,0.0,0.0,0.0,0.0,0.0,0.0,10.8,266.0
2021-08-01T04:00,20.2,0.0,0.0,0.0,0.0,0.0,0.0,3.3,96.0
2022-09-07T16:00,21.8,0.1,0.1,100.0,100.0,65.0,84.0,14.4,58.0
2021-06-11T09:00,16.7,0.0,0.0,69.0,0.0,94.0,42.0,11.7,81.0
2017-02-11T22:00,5.3,0.0,0.0,66.0,0.0,69.0,82.0,3.3,84.0
2017-01-08T09:00,-8.9,0.0,0.0,0.0,0.0,0.0,0.0,12.4,292.0
2017-03-16T03:00,-2.5,0.0,0.0,7.0,8.0,0.0,0.0,20.9,281.0
2018-05-06T16:00,16.5,0.0,0.0,91.0,26.0,62.0,100.0,14.2,74.0
2016-11-02T19:00,18.1,0.0,0.0,26.0,0.0,0.0,85.0,8.7,240.0
2017-10-03T03:00,14.8,0.0,0.0,0.0,0.0,0.0,0.0,5.6,153.0
2021-03-09T10:00,2.6,0.0,0.0,45.0,0.0,75.0,1.0,14.4,238.0
2019-01-10T10:00,0.5,0.0,0.0,51.0,0.0,85.0,0.0,18.1,276.0
2016-06-03T19:00,19.9,0.5,0.5,100.0,100.0,92.0,97.0,5.0,150.0
2018-01-08T02:00,-10.1,0.0,0.0,57.0,0.0,95.0,1.0,14.0,215.0
2017-06-01T14:00,19.4,0.0,0.0,8.0,0.0,13.0,0.0,6.4,227.0
2022-08-27T05:00,24.8,0.0,0.0,14.0,0.0,5.0,36.0,6.1,230.0
2021-03-17T06:00,1.7,0.1,0.1,100.0,94.0,61.0,14.0,6.3,77.0
2021-09-18T05:00,21.2,0.0,0.0,69.0,74.0,4.0,0.0,9.8,36.0
2018-01-22T15:00,5.9,0.0,0.0,84.0,37.0,35.0,99.0,3.8,49.0
2020-06-18T16:00,22.4,0.0,0.0,100.0,96.0,70.0,98.0,6.8,115.0
2021-07-31T22:00,24.9,0.0,0.0,4.0,0.0,7.0,0.0,8.6,285.0
2020-02-12T17:00,5.5,0.0,0.0,29.0,0.0,0.0,98.0,6.2,260.0
2022-08-23T08:00,22.4,2.1,2.1,100.0,81.0,20.0,49.0,4.0,153.0
2016-10-27T09:00,6.1,0.0,0.0,90.0,0.0,100.0,100.0,11.2,57.0
2022-06-29T04:00,20.5,0.0,0.0,29.0,0.0,0.0,98.0,4.7,238.0
2022-02-25T21:00,5.3,0.0,0.0,60.0,66.0,1.0,0.0,20.9,176.0
2020-10-30T08:00,7.5,1.2,1.2,100.0,100.0,100.0,100.0,23.2,28.0
2018-03-12T07:00,1.1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0
2018-07-05T10:00,24.8,0.0,0.0,37.0,41.0,0.0,0.0,5.7,215.0
2021-08-27T22:00,28.1,1.6,1.6,75.0,5.0,77.0,80.0,0.4,360.0
2017-08-05T02:00,24.1,0.0,0.0,6.0,1.0,5.0,6.0,12.7,151.0
2019-07-25T13:00,23.4,0.0,0.0,12.0,0.0,17.0,7.0,7.2,354.0
2020-03-03T18:00,11.5,0.0,0.0,98.0,15.0,100.0,81.0,9.7,158.0
2017-10-10T05:00,23.5,0.0,0.0,91.0,90.0,1.0,30.0,14.1,308.0
2017-10-18T01:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,11.9,205.0
2018-07-12T01:00,24.1,0.0,0.0,67.0,10.0,46.0,100.0,11.0,128.0
2020-12-18T12:00,-3.7,0.0,0.0,81.0,57.0,48.0,4.0,12.9,347.0
2018-03-20T22:00,2.8,0.1,0.0,89.0,2.0,99.0,92.0,10.2,58.0
2020-02-15T00:00,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,17.3,343.0
2021-10-28T17:00,13.8,0.0,0.0,40.0,44.0,0.0,0.0,4.3,66.0
2016-12-03T01:00,7.7,0.0,0.0,0.0,0.0,0.0,0.0,16.8,261.0
2018-10-21T14:00,8.1,0.0,0.0,59.0,65.0,1.0,0.0,27.0,323.0
2019-11-29T15:00,2.6,0.0,0.0,30.0,0.0,0.0,100.0,16.6,342.0
2018-11-06T05:00,10.6,0.0,0.0,98.0,100.0,0.0,28.0,13.7,5.0
2019-01-06T11:00,3.9,0.0,0.0,65.0,72.0,0.0,0.0,9.0,241.0
2022-04-29T08:00,6.4,0.0,0.0,0.0,0.0,0.0,0.0,15.9,147.0
2020-04-08T06:00,11.9,0.0,0.0,77.0,8.0,67.0,100.0,7.3,189.0
2021-10-18T12:00,10.3,0.0,0.0,0.0,0.0,0.0,0.0,12.6,268.0
2018-12-05T03:00,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.1,356.0
2021-08-07T15:00,26.7,0.0,0.0,47.0,0.0,32.0,94.0,6.5,214.0
2022-06-07T11:00,18.7,0.0,0.0,27.0,0.0,0.0,89.0,8.2,241.0
2016-01-05T13:00,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,354.0
2017-05-09T04:00,11.1,0.0,0.0,39.0,1.0,30.0,67.0,3.9,34.0
2022-03-01T18:00,5.3,0.0,0.0,75.0,3.0,95.0,52.0,16.9,271.0
2016-04-30T13:00,9.7,0.0,0.0,100.0,85.0,61.0,72.0,4.4,351.0
2021-10-28T06:00,11.5,0.0,0.0,12.0,9.0,7.0,0.0,12.6,360.0
2021-10-29T17:00,13.4,0.0,0.0,100.0,100.0,74.0,2.0,24.8,90.0
2022-02-08T23:00,2.3,0.0,0.0,90.0,100.0,0.0,0.0,13.6,169.0
2016-01-09T20:00,7.3,0.0,0.0,100.0,100.0,84.0,0.0,9.4,72.0
2019-06-20T11:00,20.1,0.8,0.8,100.0,100.0,24.0,78.0,7.0,69.0
2018-06-21T23:00,28.3,0.0,0.0,34.0,0.0,11.0,91.0,1.8,169.0
